label,category
DGG,#亚马逊云科技笔记#随着“宅经济”在全球范围内飞速发展，“Made in China”风靡海外，“剁手神话“放之四海皆准。[看涨]2022年一季度，中国跨境电商领域共发起15起投资。看上去资本对跨境电商的热情依旧热力不减，其实，做跨境的人心里都清楚：“躺着都能赚钱”的时代已经过去。如何在“乱花丛中”找寻到风口？跨境电商又该如何乘风而上、取得成功？一张长图带你从资本的角度探秘跨境电商的未来，以及#亚马逊云科技#助力跨境电商布局下一个增长点的最佳实践案例。[礼物]文末还有超高价值福利，千万不要错过~
ANL,我的上云故事
GCI,智能物联时代 | 智能制造篇
DGG,QuickCEP一站式SaaS营销工具，提升跨境电商企业的品牌竞争力
DBN,亚马逊云科技数据库思享会｜数聚未来 云上新“库”
DGG,#亚马逊云科技新闻# 一张图带你了解亚马逊云科技关于中国企业上云出海的趋势洞察！[憧憬]从“数字化出海”向“出海数字化”扩展，实现 “全球化思考，本地化运营”是中国企业在全球取得成功的关键。和我们一起运用云计算为数字经济提供技术底座支撑，助力企业出海行稳致远吧！[打call] ​
MDS,「直播回放」上新了 亚麻云｜乌卡时代来临，你做好准备了吗？
MDS,🌊人不会两次踏入同一条河流！ #乌卡时代#！当“不确定”成为时代主流，我们应该如何面对？☁ #上新了，亚麻云# 第五期诚邀重磅嘉宾精彩开讲，与其追逐潮流疲于奔命，不如借力云计算料敌机先！➡更多内容，敬请关注4月26日19:30 #亚马逊云科技#  直播间，扫描下方二维码，解锁更多精彩！ ​
AID,叮~点击定制你的数字车手证，参与挑战吉尼斯世界纪录™称号
ANL,#亚马逊云科技新闻#官宣！亚马逊全球副总裁、首席技术官Werner Vogels博士在亚马逊云科技峰会主题演讲中，宣布 Amazon Redshift Serverless正式上线。这项改变云原生数据分析游戏规则的技术创新，让企业能够轻松地在云中以任何规模高性能地进行数据查询与分析。点击文章，了解Amazon Redshift能为数据价值探索带来怎样的助力~[打call] http://t.cn/A6a0K9El
DGG,📣 中国企业出海季第四波来袭！👉“宅经济”下，全球用户多样化的社交需求被激活，正在社交出海赛道上奋力拼搏的企业该：1、如何通过云上的创新解决方案，获取爆量密码，助力娱乐社交出海？2、如何创新媒体解决方案，加速信息高效、畅快交流和传递？3、如何更好地保障全球用户的沉浸式娱乐体验？👉在出海数字化时代，作为企业的掌舵人：1、如何借助云底座的力量，打造“全球业务一张网”，加速全球化进程？2、如何持续提升海外业务安全性，应对各地区合规挑战和网络安全威胁？3、如何利用更加丰富的解决方案和实践经验，应对各种各样的新需求？💡 7月26-27日，聚焦社交泛娱乐出海、企业云端迁移两大主题，亚马逊云科技与网易云信、AppGrowing等多家合作伙伴共聚，合力为中国企业深挖全球市场的价值！
DBN,惊心动魄，可口可乐SCMC的“黄金24小时”！
AID,开年第一跑！ 上海人工智能开发者大会Amazon DeepRacer自动驾驶赛车嘉年华圆满落幕！
ANL,安全支付选KPay， KPay凭什么快速“蹿红”香港？
DGG,[飞机]元宇宙时代到来，你愿意按照自己的样子打造一个同款AI数字虚拟人吗？[太开心]国内首个广播级数字人——“时间小妮”，依托#亚马逊云科技#提供的算力将北京广播电视台主持人春妮自然朗读的7000个句子和形象表情进行影像采集和智能处理，经过情绪仿真（DeepEmotion）引擎，为‘时间小妮’赋予了如同真人情感表达，形象气质、语音语调、口唇表情、肢体动作跟真人的相似度达到97%。这一案例的背后是一家专注于人工智能创新与AI数字虚拟人技术的企业——明芒科技。一起来看看亚马逊云科技助力明芒科技刷新AI虚拟偶像体验的故事吧！[哇]如果有机会，你会打造一个怎样的AI数字虚拟人？评论区聊聊~
AID,2022 #Amazon DeepRacer# 中国区青少年总决赛预选赛24强新鲜出炉！历经3个多月的比赛，来自300多所中学的4000余位青少年参与了 #Amazon DeepRacer# 精彩角逐后，24位超燃 AI 少年在速度与激情中脱颖而出，成功集结上海！而这，并不是结束！9月22日-23日，#2022年亚马逊云科技中国峰会# 上，总决赛王者相见，点击O网页链接即刻报名，申请总决赛观赛席位！燃烧吧，AI少年们！
DGG,走过黄金十年后，跨境电商如何布局下一个红利时代？
GCI,中国企业出海记 | 猿人创新的独立品牌之路：海外市场没有“捷径”
MDS,初创公司最青睐的八项亚马逊云科技全球服务
EGG,#云咖来了#谈到“出海”，你是不是想到“MADE IN CHINA”？中国制造曾以“物美价廉”畅销海外。而近些年来，中国出海力量已发生变化，越来越多的企业加速海外扩张。中国企业怎样进行全球化思考，实现本地化运营？☁️本期《云咖来了》邀请来自普华永道、中科创达、神州泰岳、亚马逊云科技的大咖，聊聊中国企业如何安全合规的跑赢“出海”赛道。
